Discipline	Gender	Event	phase	Eventunit	schedule	medalflag	ENG longdescription	ENG Description	FRA longdescription	FRA Description	Eventunittype	cisSchedule	infoSchedule	scheduleFilter11	scheduleFilter12	scheduleFilter21	scheduleFilter22	groupCriteria
WR	M	255	5	06	Y	0	Men's Freestyle 55 kg Qualification	Men's FR 55 kg Qualification	Lutte libre, 55 kg - hommes, qualification	Libre, 55 kg - hommes, qualification	HATH	N	Y					
WR	M	255	5	07	Y	0	Men's Freestyle 55 kg Qualification	Men's FR 55 kg Qualification	Lutte libre, 55 kg - hommes, qualification	Libre, 55 kg - hommes, qualification	HATH	N	Y					
WR	M	255	5	08	Y	0	Men's Freestyle 55 kg Qualification	Men's FR 55 kg Qualification	Lutte libre, 55 kg - hommes, qualification	Libre, 55 kg - hommes, qualification	HATH	N	Y					
WR	M	255	5	09	Y	0	Men's Freestyle 55 kg Qualification	Men's FR 55 kg Qualification	Lutte libre, 55 kg - hommes, qualification	Libre, 55 kg - hommes, qualification	HATH	N	Y					
WR	M	255	5	10	Y	0	Men's Freestyle 55 kg Qualification	Men's FR 55 kg Qualification	Lutte libre, 55 kg - hommes, qualification	Libre, 55 kg - hommes, qualification	HATH	N	Y					
WR	M	255	5	11	Y	0	Men's Freestyle 55 kg Qualification	Men's FR 55 kg Qualification	Lutte libre, 55 kg - hommes, qualification	Libre, 55 kg - hommes, qualification	HATH	N	Y					
WR	M	255	5	12	Y	0	Men's Freestyle 55 kg Qualification	Men's FR 55 kg Qualification	Lutte libre, 55 kg - hommes, qualification	Libre, 55 kg - hommes, qualification	HATH	N	Y					
WR	M	255	5	13	Y	0	Men's Freestyle 55 kg Qualification	Men's FR 55 kg Qualification	Lutte libre, 55 kg - hommes, qualification	Libre, 55 kg - hommes, qualification	HATH	N	Y					
WR	M	255	5	14	Y	0	Men's Freestyle 55 kg Qualification	Men's FR 55 kg Qualification	Lutte libre, 55 kg - hommes, qualification	Libre, 55 kg - hommes, qualification	HATH	N	Y					
WR	M	255	5	15	Y	0	Men's Freestyle 55 kg Qualification	Men's FR 55 kg Qualification	Lutte libre, 55 kg - hommes, qualification	Libre, 55 kg - hommes, qualification	HATH	N	Y					
